restaurant,review,rating,date
Lavelle,We came as part of a work event on a Tuesday night. It was a large group of us and two other tables in the restaurant. Our server tried to handle our tables with the assistance of lots of runners and what appeared to be a manager. They (the server) did not crack much of a smile and a couple of facial expressions could be read as frustration with our taking time to decide on some drinks. They never connected with our tables in a meaningful manner. Some of us received our meals and there was a gap while the rest of the table waited for their meals. Some of the meat was not cooked to the preferences of my co-workers (too rare) it seemed to be a bit of an inconvenience to correct. The three course set menu was a reasonable choice for its price.<br><br>The views from the deck and windows are unsurpassed. We went out onto the patio and it was breathtaking but many of us noticed the green in the water even though it was dusk and was an unpleasant sight. (Understand the time of the year but then drain the pool if you aren't keeping it up)<br><br>I get that we aren't the restaurant's target market (we are older and not hip) but the amount of money spent would have appreciated a bit friendlier service.,4,11/02/2025
Lavelle,"A bit overhyped in my humble opinion.<br><br>We enjoyed the appetizers, and the main course — especially the steaks — was nicely served and pre-cut, making sharing easy and convenient. However, the Korean BBQ chicken lacked flavor and was quite bland. Since it was the last dish served, it left a rather flat aftertaste.<br><br>Desserts were decent, though not particularly standout. I liked the menu choices, but a stronger touch of lavender would have complemented the lemon better — the lemon flavor overpowered the lemon lavender cheese cake.<br><br>Even the booking process felt a little overhyped overall.",3,11/02/2025
Lavelle,DJ killed all the vibe,1,10/31/2025
Lavelle,"Great service and ambiance, Karina was amazing.",5,10/29/2025
Lavelle,"Got it! Let me sum that up into a polished review for you in English:<br><br>---<br><br>""Do you know why your rating is 3.7? It's because you hired a manager who's extremely rude. I was invited by the event organizer that night, and when I tried to go inside, the manager stopped me with a very harsh attitude. I asked who she was, and she said she was the manager. I told her I'd call the organizer, and after waiting for half an hour, she finally let me in, but by then it was too late. Then, when my friend, the organizer, arrived, the security accused me of disrespect, which never happened. I believe this manager needs to be replaced because her behavior is damaging to your club's reputation. I’m giving you a 1-star review.""<br><br>---<br><br>Let me know if that sounds good or if you want any changes!",1,10/27/2025
Lavelle,"We went here to celebrate my sister’s birthday tonight and were probably among the first guests to arrive. The location is absolutely lovely, with a beautiful skyline view — the CN Tower in sight made for a perfect backdrop.<br><br>The atmosphere was warm and inviting, striking that perfect balance between upscale and comfortable. The service was exceptional — every staff member we interacted with was friendly, attentive, and genuinely welcoming (I wish I remembered our server’s name!).<br>The manager even checked in with us multiple times, which was such a nice touch and made us feel truly cared for.<br><br>Now for the food — it was definitely fine dining quality. We’d heard that the dishes might be light on flavor, but that couldn’t have been further from the truth. Everything was delicious, especially the jerk chicken tacos, which were so good we had to order them twice! The cocktails were also enjoyable;<br><br>Pricing was quite reasonable for the quality and experience offered. Overall, it was a fantastic evening — beautiful views, outstanding service, and food that impressed us all. I’d absolutely recommend it and look forward to going back",5,10/27/2025
Lavelle,"Amazing vibe and view. We arrived on Saturday night, which is obviously a busy night for the club, like Lavelle. However, there were not enough staff, and every order took more than half an hour to get to the table. The drinks arrived without our ordered appetizers, and then the main dish arrived without our ordered drinks. The drink menu is decently diverse especially cocktails, but the food menu was simple with low options and small portions.",3,10/26/2025
Lavelle,"We went to celebrate our 10th anniversary and had such a great experience! The staff was so kind and attentive, wished us Happy Anniversary several times, and made us feel really special. The food was absolutely delicious, the atmosphere was great, and the view was incredible! ❤️",5,10/26/2025
Lavelle,"Mckaila made my entire night. She was the best waitress, good service and a good time!!!",5,10/26/2025
Lavelle,Great experience!<br>Great staffs! Especially Karina,5,10/25/2025
Lavelle,"Breathtaking views! Amazing ambience! Excellent customer service! I took my fellow guests from Europe to this location. I must say I am pleased with everything. Our server, Gaurav Vijay, is very welcoming. He assured our visit is pleasant. We come to across this type of customer service! Though we enjoyed for short time, I can say I will definitely come back here again!",5,10/24/2025
Lavelle,"Came in randomly today with my significant other. Atmosphere was amazing, food was good and service was amazing.<br>We had Sandy as our server , she is vibrant great energy and super efficient :)<br>Also got to meet the manager Dhru .<br>Would definitely go back again!",5,10/23/2025
Lavelle,Waited over 45 minutes for food to arrive. Staff barely checked in on us.,1,10/20/2025
Lavelle,Took 45 minutes to see us by table and we left,1,10/19/2025
Lavelle,Thanks Karina and Dimitri for a fantastic service on Wed night ❤️,5,10/16/2025
Lavelle,"Dhruv was our host both times we went and he was the best! Made the experience worth it. The jerk chicken tacos were soft and juicy, the blue island Margs were amazing! We made sure we came back after our first visit despite only being here for 3 nights.<br>The views were great too",5,10/10/2025
