restaurant,review,rating,date
McDonald's,"I have visited this s mc Donald's several times and would like to share my experiences with staff there, they all are so humble and friendly in nature.",5,04/23/2025
McDonald's,Best in the Downtown.,5,04/21/2025
McDonald's,Teach your staff to attend people not to ignore them.,1,04/15/2025
McDonald's,"This McDonald's offers a typical experience but the wait time for mobile orders is extremely long.<br><br>I ordered three simple meals each with a sandwich, fries and a vanilla iced coffee and waited about 15 minutes.<br><br>The wait might have been tolerable if not for the strong kitchen fumes that cover the entire restaurant. I wouldn't recommend this location for anyone with respiratory issues.",3,04/09/2025
McDonald's,"Update it’s been a month and the charge is still there. Good thing I refused to pay twice. He is scamming people and McDonald’s.<br><br>Be careful paying by card here. I paid the machine said approved and the guy said something wrong I must pay again , I checked my bank right there and it went through . He tried to force me to pay again and said it’ll take a week to get money back and wanted to give me no recipet , if it didn’t go through I would need receipt showing that it says transaction not completed, he didn’t want to provide that and couldn’t because it clearly went through. I said no I paid and it’s gone through my bank as a charge which I showed, so I’m not leaving until you call someone at head office or I call my bank right here in the store. He was extremely rude he was the manager apparently named “den” or “dan” I would never come here again since they think something like this is okay . Not everyone can wait a week for their mistake and money back, for all he knows that could’ve been my last 10$ and that’s how he’s treating customers for their systems technical errors. It’s not my fault to pay for McDonald’s technical errors, i paid and not waiting for money a week for McDonald’s with NO recipet or proof to leave with. Sickening and rude customer service and the manager should be investigated and re trained.",1,04/03/2025
McDonald's,"Stale, undercooked or overcooked. ""never again""",1,03/26/2025
McDonald's,"A simple order of a happy meal and an extra drink... Took 15 minutes and others ordering more food items after were served before mine. Staff looks confused about what they are doing and slow moving. Got the food and was barely warm, fries were cold.",1,03/23/2025
McDonald's,"Order is simply wrong. Be careful, there is like a 20% chance you will be scammed.<br><br>Edit: it somehow got worse. They just ignore the number system to boost their metrics and game the system to their corp. HQ.",1,03/20/2025
McDonald's,"I’ll be honest I don’t usually leave review (especially for fast food places) but I went in at about 430am while it was freezing outside waiting for my food. The manager let me wait inside the restaurant while my food was being made, and while I was waiting the customer service girl offered me a water while I waited. It may seem like something small but I’ve been to McDonald’s hundreds of times and was the first time I was offered a water while waiting for my food. It may seem like a small gesture, but given that it was the first time I was given this kind of service at a fast food restaurant, it made me very impressed with the experience.<br><br>I hope management reads this and praises the middle eastern girl that served me at 430am on February 8th, 2025.",5,02/08/2025
McDonald's,Great service from the 24 night staff 5 stars,5,01/14/2025
